title, time, description, link 
b'Is Super League Gaming Inc. (SLGG) a Bad Choice in Electronic Gaming & Multimedia Tuesday?', b'21 hours ago', b"We percentile rank most of our scores to make it easy for investors to understand. A score of 47 means the stock is more attractive than 47 percent of stocks. These...Is Super League Gaming Inc. (SLGG) a Bad Choice in Electronic Gaming & Multimedia Tuesday?News HomeIs Super League Gaming Inc. (SLGG) a Bad Choice in Electronic Gaming & Multimedia Tuesday?Tuesday April 13 2021 02:21 PM | InvestorsObserver AnalystsA rating of 70 puts Super League Gaming Inc. (SLGG) near the top of the Electronic Gaming & Multimedia industry according to InvestorsObserver. Super League Gaming Inc.'s score of 70 means it scores higher than 70% of stocks in the industry. Super League Gaming Inc. also received an overall rating of 47 putting it above 47% of all stocks. Electronic Gaming & Multimedia is ranked 112 out of the 148 industries.SLGG has an Overall Score of 47. Find out what this means to you and get the rest of the rankings on SLGG!See Full SLGG ReportWhat do These Ratings Mean?Analyzing stocks can be hard. There are tons of numbers and ratios and it can be hard to remember what they all mean and what counts as \xe2\x80\x9cgood\xe2\x80\x9d for a given value. InvestorsObserver ranks stocks on eight different metrics. We percentile rank most of our scores to make it easy for investors to understand. A score of 47 means the stock is more attractive than 47 percent of stocks.These scores are not only easy to understand but it is easy to compare stocks to each other. You can find the best stock in an industry or look for the sector that has the highest average score. The overall score is a combination of technical and fundamental factors that serves as a good starting point when analyzing a stock. Traders and investors with different goals may have different goals and will want to consider other factors than just the headline number before making any investment decisions.What's Happening With Super League Gaming Inc. Stock Today?Super League Gaming Inc. (SLGG) stock is trading at $6.25 as of2:09 PM on Tuesday Apr 13 an increase of $0.34 or 5.81% from the previous closing price of $5.91. The stock has traded between$5.81 and $6.59 so far today. Volume today is below average. So far 2216210 shares have tradedcompared to average volume of 19659538 shares.Click Here to get the full Stock Score Report on Super League Gaming Inc. (SLGG) Stock.Share this article:Related ArticlesShould You Buy Glory Star New Media Group Holdings Ltd (GSMG) Stock on Wednesday?Wednesday April 14 2021 10:59 AM | InvestorsObserver AnalystsCardlytics Inc (CDLX) Stock Rises 3.49% This Week; Should You Buy?Wednesday April 14 2021 10:33 AM | InvestorsObserver AnalystsScore Media and Gaming (SCR) Stock Falls After Financial ResultsWednesday April 14 2021 10:30 AM | Kyle DepontesCinedigm Corp (CIDM) is down -1.47% in a Week Should You Hold?Wednesday April 14 2021 10:25 AM | InvestorsObserver AnalystsShould You Buy A. H. Belo Corp (AHC) Stock on Wednesday?Wednesday April 14 2021 10:16 AM | InvestorsObserver AnalystsGrupo Televisa SAB ADR (TV) Stock: What Does the Chart Say Wednesday?Wednesday April 14 2021 10:16 AM | InvestorsObserver AnalystsRelated CompaniesSLGGYou May Also LikeRelated ArticlesShould You Buy Glory Star New Media Group Holdings Ltd (GSMG) Stock on Wednesday?Wednesday April 14 2021 10:59 AM | InvestorsObserver AnalystsCardlytics Inc (CDLX) Stock Rises 3.49% This Week; Should You Buy?Wednesday April 14 2021 10:33 AM | InvestorsObserver AnalystsScore Media and Gaming (SCR) Stock Falls After Financial ResultsWednesday April 14 2021 10:30 AM | Kyle DepontesCinedigm Corp (CIDM) is down -1.47% in a Week Should You Hold?Wednesday April 14 2021 10:25 AM | InvestorsObserver AnalystsShould You Buy A. H. Belo Corp (AHC) Stock on Wednesday?Wednesday April 14 2021 10:16 AM | InvestorsObserver AnalystsGrupo Televisa SAB ADR (TV) Stock: What Does the Chart Say Wednesday?Wednesday April 14 2021 10:16 AM | InvestorsObserver AnalystsRelated CompaniesSLGGContact413-A East Main StreetCharlottesville VA 22902US: +1 800 698 9101International: +1 434 293 9100StocksStocks DashboardTop 5 StocksStock ScreenerOptionsOptions DashboardOptions PortfoliosOptions Trade ScreenerAccount and SupportMy AccountAbout UsNewslettersContact UsHelp CenterReviewsEmail Whitelist InstructionsStock Price data may be delayed up to 15 minutes.Copyright \xc2\xa9 2021. Portions of this content may be copyrighted by Fresh Brewed Media Investors Observer and/or O2 Media LLC. All Rights Reserved. Portions of this content protected by US Patent numbers 7865496 7856390 and 7716116. Investing in stocks bonds option and other financial instruments involve risks and may not be suitable for everyone. Portfolio results are unaudited and based on varying investment expiration dates. Terms of Service | Privacy Policy", b'https://www.investorsobserver.com/news/stock-update/is-super-league-gaming-inc-slgg-a-bad-choice-in-electronic-gaming-multimedia-tuesday' 
b'Super League Gaming Inc. (SLGG) Up 3.68% in Premarket Trading', b'2 hours ago', b"SLGG's short-term technical score of 31 indicates that the stock has traded less bullishly over the last month than 69% of stocks on the market. In the Electronic...Super League Gaming Inc. (SLGG) Up 3.68% in Premarket TradingNews HomeSuper League Gaming Inc. (SLGG) Up 3.68% in Premarket TradingWednesday April 14 2021 08:36 AM | InvestorsObserver AnalystsSuper League Gaming Inc. (Super League Gaming Inc. (SLGG) has gained Wednesday morning with the stock climbing 3.68% in pre-market trading to 6.48.SLGG's short-term technical score of 31 indicates that the stock has traded less bullishly over the last month than 69% of stocks on the market. In the Electronic Gaming & Multimedia industry which ranks 107 out of 146 industries Super League Gaming Inc. ranks higher than 26% of stocks.Super League Gaming Inc. has fallen 4.14% over the past month closing at $7.58 on March 17. During this period of time the stock fell as low as $5.91 and as high as $11.20. SLGG has an average analyst recommendation of Strong Buy. The company has an average price target of $6.25.SLGG has an Overall Score of 42. Find out what this means to you and get the rest of the rankings on SLGG!See Full SLGG ReportSuper League Gaming Inc. has a Long-Term Technical rank of 86. This means that trading over the last 200 trading days has placed the company in the upper half of stocks with 14% of the market scoring higher. In the Electronic Gaming & Multimedia industry which is number 88 by this metric SLGG ranks better than 83% of stocks.Important Dates for Investors in SLGG:-Super League Gaming Inc. is set to release earnings on 5/13/2021. During their last earnings release the company posted EPS of $-0.65.-We do not have a set dividend date for Super League Gaming Inc. at this time.Click Here to get the full Stock Score Report on Super League Gaming Inc. (SLGG) Stock.Share this article:Related ArticlesShould You Buy Glory Star New Media Group Holdings Ltd (GSMG) Stock on Wednesday?Wednesday April 14 2021 10:59 AM | InvestorsObserver AnalystsCardlytics Inc (CDLX) Stock Rises 3.49% This Week; Should You Buy?Wednesday April 14 2021 10:33 AM | InvestorsObserver AnalystsScore Media and Gaming (SCR) Stock Falls After Financial ResultsWednesday April 14 2021 10:30 AM | Kyle DepontesCinedigm Corp (CIDM) is down -1.47% in a Week Should You Hold?Wednesday April 14 2021 10:25 AM | InvestorsObserver AnalystsShould You Buy A. H. Belo Corp (AHC) Stock on Wednesday?Wednesday April 14 2021 10:16 AM | InvestorsObserver AnalystsGrupo Televisa SAB ADR (TV) Stock: What Does the Chart Say Wednesday?Wednesday April 14 2021 10:16 AM | InvestorsObserver AnalystsRelated CompaniesSLGGYou May Also LikeRelated ArticlesShould You Buy Glory Star New Media Group Holdings Ltd (GSMG) Stock on Wednesday?Wednesday April 14 2021 10:59 AM | InvestorsObserver AnalystsCardlytics Inc (CDLX) Stock Rises 3.49% This Week; Should You Buy?Wednesday April 14 2021 10:33 AM | InvestorsObserver AnalystsScore Media and Gaming (SCR) Stock Falls After Financial ResultsWednesday April 14 2021 10:30 AM | Kyle DepontesCinedigm Corp (CIDM) is down -1.47% in a Week Should You Hold?Wednesday April 14 2021 10:25 AM | InvestorsObserver AnalystsShould You Buy A. H. Belo Corp (AHC) Stock on Wednesday?Wednesday April 14 2021 10:16 AM | InvestorsObserver AnalystsGrupo Televisa SAB ADR (TV) Stock: What Does the Chart Say Wednesday?Wednesday April 14 2021 10:16 AM | InvestorsObserver AnalystsRelated CompaniesSLGGContact413-A East Main StreetCharlottesville VA 22902US: +1 800 698 9101International: +1 434 293 9100StocksStocks DashboardTop 5 StocksStock ScreenerOptionsOptions DashboardOptions PortfoliosOptions Trade ScreenerAccount and SupportMy AccountAbout UsNewslettersContact UsHelp CenterReviewsEmail Whitelist InstructionsStock Price data may be delayed up to 15 minutes.Copyright \xc2\xa9 2021. Portions of this content may be copyrighted by Fresh Brewed Media Investors Observer and/or O2 Media LLC. All Rights Reserved. Portions of this content protected by US Patent numbers 7865496 7856390 and 7716116. Investing in stocks bonds option and other financial instruments involve risks and may not be suitable for everyone. Portfolio results are unaudited and based on varying investment expiration dates. Terms of Service | Privacy Policy", b'https://www.investorsobserver.com/news/stock-update/super-league-gaming-inc-slgg-up-3-68-in-premarket-trading' 
b'Is Super League Gaming Inc. (SLGG) a Leader in the Electronic Gaming & Multimedia Industry?', b'4 days ago', b"Super League Gaming Inc. also received an overall rating of 45 putting it above 45% of all stocks. Electronic Gaming & Multimedia is ranked 113 out of the 148...Is Super League Gaming Inc. (SLGG) a Leader in the Electronic Gaming & Multimedia Industry?News HomeIs Super League Gaming Inc. (SLGG) a Leader in the Electronic Gaming & Multimedia Industry?Friday April 09 2021 02:53 PM | InvestorsObserver AnalystsA rating of 65 puts Super League Gaming Inc. (SLGG) near the middle of the Electronic Gaming & Multimedia industry according to InvestorsObserver. Super League Gaming Inc.'s score of 65 means it scores higher than 65% of stocks in the industry. Super League Gaming Inc. also received an overall rating of 45 putting it above 45% of all stocks. Electronic Gaming & Multimedia is ranked 113 out of the 148 industries.SLGG has an Overall Score of 45. Find out what this means to you and get the rest of the rankings on SLGG!See Full SLGG ReportWhat do These Ratings Mean?Searching for the best stocks to invest in can be difficult. There are thousands of options and it can be confusing on what actually constitutes a great value. Investors Observer allows you to choose from eight unique metrics to view the top industries and the best performing stocks in that industry. A score of 45 would rank higher than 45 percent of all stocks.Our proprietary scoring system captures technical factors fundamental analysis and the opinions of analysts on Wall Street. This makes InvestorsObserver\xe2\x80\x99s overall rating a great way to get started regardless of your investing style. Percentile-ranked scores are also easy to understand. A score of 100 is the top and a 0 is the bottom. There\xe2\x80\x99s no need to try to remember what is \xe2\x80\x9cgood\xe2\x80\x9d for a bunch of complicated ratios just pay attention to which numbers are the highest.What's Happening With Super League Gaming Inc. Stock Today?Super League Gaming Inc. (SLGG) stock is lower by -8.49% while the S&P 500 is up 0.33% as of 2:51 PM on Friday Apr 9. SLGG is down -$0.58 from the previous closing price of $6.83 on volume of 985534 shares. Over the past year the S&P 500 has risen 47.35% while SLGG is up 95.92%. SLGG lost -$1.64 per share the over the last 12 months.Click Here to get the full Stock Score Report on Super League Gaming Inc. (SLGG) Stock.Share this article:Related ArticlesShould You Buy Glory Star New Media Group Holdings Ltd (GSMG) Stock on Wednesday?Wednesday April 14 2021 10:59 AM | InvestorsObserver AnalystsCardlytics Inc (CDLX) Stock Rises 3.49% This Week; Should You Buy?Wednesday April 14 2021 10:33 AM | InvestorsObserver AnalystsScore Media and Gaming (SCR) Stock Falls After Financial ResultsWednesday April 14 2021 10:30 AM | Kyle DepontesCinedigm Corp (CIDM) is down -1.47% in a Week Should You Hold?Wednesday April 14 2021 10:25 AM | InvestorsObserver AnalystsShould You Buy A. H. Belo Corp (AHC) Stock on Wednesday?Wednesday April 14 2021 10:16 AM | InvestorsObserver AnalystsGrupo Televisa SAB ADR (TV) Stock: What Does the Chart Say Wednesday?Wednesday April 14 2021 10:16 AM | InvestorsObserver AnalystsRelated CompaniesSLGGYou May Also LikeRelated ArticlesShould You Buy Glory Star New Media Group Holdings Ltd (GSMG) Stock on Wednesday?Wednesday April 14 2021 10:59 AM | InvestorsObserver AnalystsCardlytics Inc (CDLX) Stock Rises 3.49% This Week; Should You Buy?Wednesday April 14 2021 10:33 AM | InvestorsObserver AnalystsScore Media and Gaming (SCR) Stock Falls After Financial ResultsWednesday April 14 2021 10:30 AM | Kyle DepontesCinedigm Corp (CIDM) is down -1.47% in a Week Should You Hold?Wednesday April 14 2021 10:25 AM | InvestorsObserver AnalystsShould You Buy A. H. Belo Corp (AHC) Stock on Wednesday?Wednesday April 14 2021 10:16 AM | InvestorsObserver AnalystsGrupo Televisa SAB ADR (TV) Stock: What Does the Chart Say Wednesday?Wednesday April 14 2021 10:16 AM | InvestorsObserver AnalystsRelated CompaniesSLGGContact413-A East Main StreetCharlottesville VA 22902US: +1 800 698 9101International: +1 434 293 9100StocksStocks DashboardTop 5 StocksStock ScreenerOptionsOptions DashboardOptions PortfoliosOptions Trade ScreenerAccount and SupportMy AccountAbout UsNewslettersContact UsHelp CenterReviewsEmail Whitelist InstructionsStock Price data may be delayed up to 15 minutes.Copyright \xc2\xa9 2021. Portions of this content may be copyrighted by Fresh Brewed Media Investors Observer and/or O2 Media LLC. All Rights Reserved. Portions of this content protected by US Patent numbers 7865496 7856390 and 7716116. Investing in stocks bonds option and other financial instruments involve risks and may not be suitable for everyone. Portfolio results are unaudited and based on varying investment expiration dates. Terms of Service | Privacy Policy", b'https://www.investorsobserver.com/news/stock-update/is-super-league-gaming-inc-slgg-a-leader-in-the-electronic-gaming-multimedia-industry' 
b"Did Business Growth Power Super League Gaming's (NASDAQ ...", b'5 days ago', b"Did Business Growth Power Super League Gaming's (NASDAQ:SLGG) Share Price Gain of 136%? ... The most you can lose on any stock (assuming you don't use...Did Business Growth Power Super League Gaming's (NASDAQ:SLGG) Share Price Gain of 136%? - Simply Wall St News The most you can lose on any stock (assuming you don't use leverage) is 100% of your money.But if you pick the right business to buy shares in you can make more than you can lose.Take for example Super League Gaming Inc. (NASDAQ:SLGG). Its share price is already up an impressive 136% in the last twelve months.It's up an even more impressive 176% over the last quarter.This could be related to the recent financial results released recently - you can catch up on the most recent data by reading our company report. Super League Gaming hasn't been listed for long so it's still not clear if it is a long term winner.Check out our latest analysis for Super League GamingGiven that Super League Gaming didn't make a profit in the last twelve months we'll focus on revenue growth to form a quick view of its business development.When a company doesn't make profits we'd generally expect to see good revenue growth.As you can imagine fast revenue growth when maintained often leads to fast profit growth.In the last year Super League Gaming saw its revenue grow by 90%.That's stonking growth even when compared to other loss-making stocks.Meanwhile the market has paid attention sending the share price soaring 136% in response.That sort of revenue growth is bound to attract attention even if the company doesn't turn a profit.Given the positive sentiment around the stock we're cautious but there's no doubt its worth watching.The company's revenue and earnings (over time) are depicted in the image below (click to see the exact numbers). NasdaqCM:SLGG Earnings and Revenue Growth April 8th 2021 Take a more thorough look at Super League Gaming's financial health with this free report on its balance sheet.A Different Perspective Super League Gaming shareholders should be happy with the total gain of 136% over the last twelve months.A substantial portion of that gain has come in the last three months with the stock up 176% in that time.This suggests the company is continuing to win over new investors.It's always interesting to track share price performance over the longer term. But to understand Super League Gaming better we need to consider many other factors.Consider for instance the ever-present spectre of investment risk.We've identified 5 warning signswith Super League Gaming (at least 2 which are a bit concerning) and understanding them should be part of your investment process.If you are like me then you will not want to miss this free list of growing companies that insiders are buying. Please note the market returns quoted in this article reflect the market weighted average returns of stocks that currently trade on US exchanges.Promoted When trading Super League Gaming or any other investment use the platform considered by many to be the Professional's Gateway to the Worlds Market Interactive Brokers. You get the lowest-cost* trading on stocks options futures forex bonds and funds worldwide from a single integrated account. This article by Simply Wall St is general in nature. It does not constitute a recommendation to buy or sell any stock and does not take account of your objectives or your financial situation. We aim to bring you long-term focused analysis driven by fundamental data. Note that our analysis may not factor in the latest price-sensitive company announcements or qualitative material. Simply Wall St has no position in any stocks mentioned.*Interactive Brokers Rated Lowest Cost Broker by StockBrokers.com Annual Online Review 2020Have feedback on this article? Concerned about the content? Get in touch with us directly. Alternatively email editorial-team (at) simplywallst.com.Discounted cash flow calculation for every stockSimply Wall St does a detailed discounted cash flow calculation every 6 hours for every stock on the market so if you want to find the intrinsic value of any company just search here. It\xe2\x80\x99s FREE.Simply Wall StSimply Wall St is a financial technology startup focused on providing unbiased high-quality research coverage on every listed company in the world. Our research team consists of equity analysts with a public market-beating track record. Learn more about the team behind Simply Wall St.Simply Wall Street Pty Ltd17-21 Bellevue Street Surry Hills SydneyAboutCompanyCareersPlansLog InHelp CentreSimply Wall St NewsPodcastsFinancial Services GuideTerms and ConditionsPrivacy PolicySimply Wall Street Pty Ltd (ACN 600 056 611) is a Corporate Authorised Representative (Authorised Representative Number: 467183) of Sanlam Private Wealth Pty Ltd (AFSL No. 337927). Any advice contained in this website is general advice only and has been prepared without considering your objectives financial situation or needs. You should not rely on any advice and/or information contained in this website and before making any investment decision we recommend that you consider whether it is appropriate for your situation and seek appropriate financial taxation and legal advice. Please read our Financial Services Guide before deciding whether to obtain financial services from us.", b'https://simplywall.st/stocks/us/media/nasdaq-slgg/super-league-gaming/news/did-business-growth-power-super-league-gamings-nasdaqslgg-sh' 
b'Super League Gaming - Consensus Indicates Potential 63.0% Upside', b'2 days ago', b"Super League Gaming with ticker code (SLGG) have now 2 analysts covering the stock with the consensus suggesting a rating of 'Strong_Buy'. The target price...Super League Gaming - Consensus Indicates Potential 63.0% Upside - DirectorsTalk InterviewsTwitterLinkedinFacebookSearchHomeNewsPLC NewsFTSE 100FTSE 250FundsInterviewsInterviewsQ & ARequest an InterviewInvestor PresentationsReportsUK Broker RatingsUSA Broker RatingsStock ReportSustainabilityResearch NotesZeus Capital Ltd.Hardman & CoAlertsMenuHomeNewsPLC NewsFTSE 100FTSE 250FundsInterviewsInterviewsQ & ARequest an InterviewInvestor PresentationsReportsUK Broker RatingsUSA Broker RatingsStock ReportSustainabilityResearch NotesZeus Capital Ltd.Hardman & CoAlertsSuper League Gaming \xe2\x80\x93 Consensus Indicates Potential 63.0% UpsideCharlotte EdwardsApril 12 202112:53 pmSuper League Gaming with ticker code (SLGG) have now 2 analysts covering the stock with the consensus suggesting a rating of \xe2\x80\x98Strong_Buy\xe2\x80\x99. The target price ranges between 5 and 4 and has a mean target at 4.5. Now with the previous closing price of 2.76 this would imply there is a potential upside of 63.0%. The day 50 moving average is 2.07 and the 200 moving average now moves to 2.17. The company has a market cap of $53m. Visit the company website at: http://www.superleague.comSuper League Gaming operates an amateur esports content network. The company engages in capturing generating aggregating and distributing content in various esports through social media live streaming and video-on-demand as well as continuous gameplay and leaderboards. It offers Framerate an independent social video esports network with user-generated reels; and Minehut a social and gameplay forum for the avid Minecraft community. The company was formerly known as Nth Games and changed its name to Super League Gaming in June 2015. Super League Gaming was incorporated in 2014 and is based in Santa Monica California.Good news travels fast (but only if you make that happen):Share on twitterTwitterShare on linkedinLinkedInShare on facebookFacebookShare on emailEmailShare on whatsappWhatsAppLatest interviewsAdEPT Technology Group Datrix \xc2\xb4acquisition is a game-changer\xc2\xb4 (Interview)14 April 2021Accrol Group Holdings looking to expand further (Analyst Interview)14 April 2021Touchstone Exploration positive flowback testing of the Cascadura Deep-1 well (Interview)13 April 2021Dekel Agri-Vision delivering best ever month of production (Interview)13 April 2021Lookers Plc increased volumes despite lockdowns (Analyst Interview)13 April 2021Falanx Group: Breaching the defences. Attack 2: Phishing12 April 2021Company PresentationsCerillion Investor Presentation March 2129 March 2021PetroNeft Resources Investor Presentation16 March 2021Dekel Agri-Vision Investor Presentation 202110 March 2021Valeura Energy Corporate Overview 20211 February 2021Premier Miton Diverse Income Trust plc Investor Presentation16 December 2020Miton UK Microcap Trust plc Presentation30 October 2020FTSE 100FTSE 100 NewsAstraZeneca\xe2\x80\x99s Tagrisso approved in China in early lung cancer14 April 2021British Land Company achieve good progress against strategic priorities14 April 2021Tesco well-placed to build on the momentum in the business14 April 2021JD Sports Fashion retained substantially all of its record profitability from the prior year13 April 2021FTSE 250AIM All Share IndexNews AlertsSubscribe FreeSustainabilityGresham House AGM to be held Wednesday 12 May 202113 April 2021Dekel Agri-Vision Record monthly crude palm oil8 April 2021Ilika plc appoint Berenberg as joint corporate broker8 April 2021Ilika Scale up of Goliath technology with Comau (Interview)7 April 2021Ilika plc announce Goliath manufacturing design collaboration with Comau6 April 2021Q&A'sSativa Wellness Group Q&A: Increasing range of services will have a positive impact on revenues (AQSE:SWEL)13 April 2021Premier Miton Investors Q&A: Smaller cap & microcaps don\xe2\x80\x99t just survive they can thrive (LON:PMI)13 April 2021Ilika Q&A: Continuing to improve Goliath technology and scaling up with the APC grant (LON:IKA)13 April 2021Dekel Agri-Vision \xc2\xb4in the midst of a fantastic high season\xc2\xb412 April 2021Drumz Q&A: Opportunities to grow (LOM:DRUM)8 April 2021FundsBlackRock Income and Growth Investment Trust: The UK post-pandemic revival13 April 2021BlackRock Frontiers Investment Trust NAV returned +3.2% outperforming its benchmark12 April 2021Japan Income Investing: 23.7% Dividend Growth for JPMorgan Japan Small Cap Growth & Income8 April 2021BlackRock Frontiers Investment Trust portfolio update8 April 2021BlackRock Energy and Resources Income Trust portfolio update8 April 2021UK Broker RatingsASSOCIATED BRITISH FOODS PLC OR \xe2\x80\x93 Consensus Indicates Potential 12.2% Upside12 April 2021BAE SYSTEMS PLC ORD 2.5P \xe2\x80\x93 Consensus Indicates Potential 26.7% Upside12 April 2021PENNON GROUP PLC ORD 40.7P \xe2\x80\x93 Consensus Indicates Potential -24.7% Downside12 April 2021SPIRAX-SARCO ENGINEERING PLC OR \xe2\x80\x93 Consensus Indicates Potential -45.9% Downside12 April 2021GLAXOSMITHKLINE PLC ORD 25P \xe2\x80\x93 Consensus Indicates Potential 24.6% Upside12 April 2021Hardman & CoBBGI Global Infrastructure: NAV and dividend growth continue14 April 2021Arbuthnot Banking Group: 2020 results in line; 2021 outlook: strong recovery6 April 2021Yew Grove REIT: NAV rise validates an excellent strategy29 March 2021Filta Group: Upbeat outlook25 March 2021Surface Transforms: Everything has come together16 March 2021Useful linksAbout UsContact UsContact InformationAuthorsMenuAbout UsContact UsContact InformationAuthorsDisclaimerYou understand and agree that no content published on the Site constitutes a recommendation that any particular security portfolio of securities transaction or investment strategy is suitable or advisable for any specific person. You further understand that none of the information providers or their affiliates will advise you personally concerning the nature potential advisability value or suitability of any particular stock share security portfolio of securities transaction investment strategy or other matter. We openly disclose that we and our contributors may have interests in investments and/or providers of services referred to within the website and that we receive remuneration from certain of the companies referred to on this website.DisclaimerCookiesPrivacy PolicyTerms of ServiceMenuDisclaimerCookiesPrivacy PolicyTerms of Service\xc2\xa9 2021 \xe2\x80\x93 DirectorsTalk Interviews. All rights reserved. Reproduction in whole or in part in any form or medium without express written permission is prohibited.", b'https://www.directorstalkinterviews.com/super-league-gaming---consensus-indicates-potential-63.0-upside/412976548' 
b'Steady Start Tipped For Singapore Stock Market', b'6 days ago', b'(RTTNews) - The Singapore stock market has moved lower in two straight ... revealed that on Monday Michael R. Keller bought 17000 shares of SLGG at a...', b'https://www.nasdaq.com/articles/steady-start-tipped-for-singapore-stock-market-2021-04-07' 
b'Costco Keeps Rolling With Strong March Sales', b'1 day ago', b'After a strong run in the second half of last year Costco stock faltered in early ... SEC revealed that on Monday Michael R. Keller bought 17000 shares of SLGG...', b'https://www.nasdaq.com/articles/costco-keeps-rolling-with-strong-march-sales-2021-04-13' 
b'KKR 2021 Virtual Investor Day Webcast At 8:30 AM ET', b'1 day ago', b'... a stock presumably the only reason they would use their hard-earned dollars to ... revealed that on Monday Michael R. Keller bought 17000 shares of SLGG...', b'https://www.nasdaq.com/articles/kkr-2021-virtual-investor-day-webcast-at-8%253A30-am-et-2021-04-13' 
b'Avenue Therapeutics: FDA Still Reviewing NDA Resubmission ...', b'1 day ago', b'... a stock presumably the only reason they would use their hard-earned dollars to ... revealed that on Monday Michael R. Keller bought 17000 shares of SLGG...', b'https://www.nasdaq.com/articles/avenue-therapeutics%253A-fda-still-reviewing-nda-resubmission-quick-facts-2021-04-13' 
b'Enveric Biosciences Names Carter Ward CFO - Quick Facts', b'2 days ago', b'... a stock presumably the only reason they would use their hard-earned dollars to ... revealed that on Monday Michael R. Keller bought 17000 shares of SLGG...', b'https://www.nasdaq.com/articles/enveric-biosciences-names-carter-ward-cfo-quick-facts-2021-04-12' 
