stock, positive, neutral, negative 
ABNB, 0.11115000000000001, 1.2812, 0.10780000000000003 
ACTC, 0.16429999999999997, 1.2919999999999998, 0.04375 
AMC, 0.19855, 1.2646000000000002, 0.037000000000000005 
AMCX, 0.0965, 1.39465, 0.00895 
API, 0.1449, 1.2658, 0.08929999999999999 
BBBY, 0.11889999999999998, 1.3288, 0.05230000000000001 
BCRX, 0.11720000000000001, 1.3427, 0.04 
BLMN, 0.13785, 1.3367499999999999, 0.02535 
BYND, 0.15475, 1.3183, 0.02695 
CLR, 0.14250000000000002, 1.3054999999999999, 0.05184999999999999 
CLVR, 0.22075, 1.2680833333333335, 0.011166666666666665 
CNK, 0.0971, 1.3493, 0.053649999999999996 
CPE, 0.19345, 1.29585, 0.010700000000000003 
CVM, 0.0751, 1.4044, 0.020550000000000006 
DNMR, 0.20249999999999999, 1.25675, 0.040650000000000006 
EB, 0.1817, 1.3055499999999998, 0.0128 
EYES, 0.08245, 1.3943500000000002, 0.02335 
FIZZ, 0.21385, 1.2696, 0.016649999999999998 
FLGT, 0.08635, 1.3819, 0.03185 
FUTU, 0.1708, 1.30685, 0.022350000000000002 
GME, 0.0906, 1.3121, 0.0974 
GPRE, 0.09399999999999999, 1.3954166666666667, 0.010666666666666666 
IRBT, 0.20680000000000004, 1.2649, 0.028350000000000007 
KBNT, nan, nan, nan 
KOSS, 0.10590000000000002, 1.32715, 0.0669 
MVIS, 0.18225, 1.2701000000000002, 0.0476 
MWK, 0.129, 1.294, 0.077 
PLAY, 0.2916, 1.1933, 0.015 
RAD, 0.1449, 1.2928000000000002, 0.0622 
RKT, 0.16749999999999998, 1.30315, 0.029450000000000004 
SABR, 0.20570000000000005, 1.27115, 0.023100000000000002 
SKT, 0.10595000000000002, 1.3654, 0.028500000000000004 
SLGG, 0.17995, 1.29485, 0.02535 
TLRY, 0.12475, 1.3079, 0.06735000000000001 
TMST, 0.15455000000000002, 1.3350499999999998, 0.01045 
TRIP, 0.06325, 1.4214, 0.015350000000000003 
UNFI, 0.2731, 1.146, 0.0811 
WB, 0.06910000000000001, 1.33245, 0.09864999999999999 
WWE, 0.19195, 1.2970000000000002, 0.01105 
YALA, 0.15485000000000002, 1.2380499999999999, 0.10710000000000001 
YY, 0.1418, 1.2757999999999998, 0.08249999999999999 
stock, positive, neutral, negative 
BGFV, 0.1014, 1.3332000000000002, 0.06520000000000001 
LTHM, 0.06835714285714287, 1.4226428571428573, 0.009142857142857144 
stock, positive, neutral, negative 
BGFV, 0.09218181818181818, 1.3483636363636364, 0.059272727272727276 
LTHM, 0.06380000000000001, 1.4278000000000002, 0.008533333333333334 
NKLA, 0.1083846153846154, 1.3244615384615388, 0.06723076923076922 
OCGN, 0.11074999999999999, 1.33095, 0.058199999999999995 
PLBY, 0.17084999999999997, 1.3207499999999999, 0.008549999999999999 
TMST, 0.16131578947368422, 1.3180526315789471, 0.020657894736842108 
